name,auto_budget,currency,auto_budget_amount,auto_budget_period,attachments
45lE-)&3mnA222,Set a fixed amount every period,8,9401,Monthly,Attachments File/Report_1MB.csv
85kM-)&1jcH222,Set a fixed amount every period,8,56289,Yearly,Attachments File/Report_1MB.csv
,Add an amount every period,1,89580,Yearly,Attachments File/Report_1MB.csv
79vA-)&27yC222,Add an amount every period,8,20276,Weekly,Attachments File/Report_65MB.csv
37rH-)&16uX222,Set a fixed amount every period,8,,Yearly,Attachments File/Report_65MB.csv
30fC-)&6gdK222,No auto-budget,8,68766,Weekly,Attachments File/Report_65MB.csv
65aV-)&1aoW222,Add an amount every period,8,87990,Yearly,Attachments File/Report_1MB.csv
39uA-)&7erO222,Add an amount every period,8,83344,Daily,Attachments File/Report_1MB.csv
99wT-)&5ihX222,No auto-budget,1,5997,Daily,Attachments File/Report_1MB.csv
60tQ-)&235H222,Add an amount every period and correct for overspending,1,75526,Yearly,Attachments File/Report_1MB.csv
18tH-)&45gI222,Add an amount every period and correct for overspending,8,60440,Daily,Attachments File/Report_65MB.csv
67aQ-)&0q3P222,Add an amount every period,1,902,Yearly,Attachments File/Report_1MB.csv
28gN-)&7bwG222,Add an amount every period,1,5892,Weekly,Attachments File/Report_1MB.csv
75jE-)&2ryO222,No auto-budget,8,91015,Yearly,Attachments File/Report_65MB.csv
45yG-)&54wT222,Add an amount every period and correct for overspending,8,71989,,Attachments File/Report_65MB.csv
11qU-)&9mrL222,No auto-budget,1,39395,Weekly,Attachments File/Report_1MB.csv
02yB-)&0plW222,Set a fixed amount every period,1,68013,Monthly,Attachments File/Report_1MB.csv
75dZ-)&4rdR222,Add an amount every period and correct for overspending,8,2409,Daily,Attachments File/Report_1MB.csv
24tZ-)&9toZ222,Set a fixed amount every period,1,,Yearly,Attachments File/Report_1MB.csv
25cE-)&0l1J222,Add an amount every period,1,12976,Weekly,Attachments File/Report_1MB.csv
74vS-)&8xdI222,Add an amount every period and correct for overspending,8,90275,Monthly,Attachments File/Report_1MB.csv
71aE-)&2r9F222,Set a fixed amount every period,8,39543,Weekly,Attachments File/Report_1MB.csv
23nF-)&0lzQ222,Add an amount every period,8,5944,Yearly,Attachments File/Report_65MB.csv
09aK-)&8ltG222,Add an amount every period and correct for overspending,8,56837,Weekly,
91rH-)&7aaN222,Add an amount every period,1,2057,Daily,Attachments File/Report_65MB.csv
04kI-)&0pkI222,Add an amount every period,8,9580,Monthly,
47tM-)&1lyN222,Add an amount every period and correct for overspending,8,8585,Weekly,Attachments File/Report_1MB.csv
04uV-)&42jX222,Add an amount every period and correct for overspending,1,57223,Yearly,Attachments File/Report_1MB.csv
21kG-)&66mQ222,Add an amount every period,1,3349,Yearly,Attachments File/Report_1MB.csv
76dS-)&118H222,Set a fixed amount every period,8,21936,Weekly,Attachments File/Report_65MB.csv
99zV-)&2ovK222,No auto-budget,1,76686,Daily,Attachments File/Report_1MB.csv
39qV-)&9khP222,No auto-budget,8,17073,Weekly,Attachments File/Report_65MB.csv
70xP-)&3saB222,Set a fixed amount every period,1,51465,Weekly,Attachments File/Report_1MB.csv
32sL-)&01pX222,Set a fixed amount every period,8,15925,Monthly,Attachments File/Report_1MB.csv
54uK-)&2ygS222,Add an amount every period,1,7621,Yearly,Attachments File/Report_1MB.csv
26tD-)&820M222,No auto-budget,1,57488,Weekly,Attachments File/Report_1MB.csv
94sT-)&0whZ222,Add an amount every period and correct for overspending,1,61833,Weekly,Attachments File/Report_1MB.csv
44xP-)&7q2R222,Add an amount every period and correct for overspending,1,44348,Daily,Attachments File/Report_1MB.csv
31oV-)&5pmL222,No auto-budget,8,34698,Weekly,Attachments File/Report_1MB.csv
59tH-)&9f2V222,No auto-budget,8,37517,Weekly,Attachments File/Report_1MB.csv
51dB-)&4yuX222,Set a fixed amount every period,1,,Weekly,Attachments File/Report_1MB.csv
29dG-)&3a4Z222,Add an amount every period and correct for overspending,1,45655,Daily,Attachments File/Report_1MB.csv
29aL-)&7uuI222,Set a fixed amount every period,1,83409,Yearly,Attachments File/Report_65MB.csv
53vD-)&0vcV222,Set a fixed amount every period,1,51750,Monthly,Attachments File/Report_1MB.csv
85oX-)&5g9N222,No auto-budget,8,83422,Daily,
55pX-)&5usK222,Add an amount every period and correct for overspending,1,10233,Weekly,Attachments File/Report_1MB.csv
06bG-)&0x2L222,Set a fixed amount every period,8,59123,,Attachments File/Report_65MB.csv
64iA-)&94lC222,Add an amount every period and correct for overspending,8,17858,Yearly,Attachments File/Report_1MB.csv
75bX-)&7dxA222,No auto-budget,8,49052,Weekly,
81cO-)&01uX222,Set a fixed amount every period,8,85112,Weekly,Attachments File/Report_65MB.csv
41gT-)&583C222,Add an amount every period and correct for overspending,8,36262,Monthly,Attachments File/Report_1MB.csv
34kM-)&9kcJ222,No auto-budget,1,47861,Yearly,Attachments File/Report_1MB.csv
16dO-)&5pdQ222,No auto-budget,8,97889,,Attachments File/Report_1MB.csv
45sR-)&8zaC222,Add an amount every period and correct for overspending,1,79241,Daily,Attachments File/Report_1MB.csv
00mT-)&285P222,Add an amount every period and correct for overspending,1,21589,Weekly,Attachments File/Report_1MB.csv
93hH-)&9a3N222,Set a fixed amount every period,8,98310,Daily,Attachments File/Report_1MB.csv
84iY-)&1cvE222,Add an amount every period and correct for overspending,8,66910,,Attachments File/Report_1MB.csv
96aB-)&5skB222,No auto-budget,1,31135,Daily,Attachments File/Report_1MB.csv
58nQ-)&6klR222,No auto-budget,1,43385,Yearly,Attachments File/Report_1MB.csv
06lZ-)&5jcV222,No auto-budget,8,,Yearly,
13gM-)&590Z222,Set a fixed amount every period,1,55015,Weekly,Attachments File/Report_1MB.csv
46aH-)&5xqU222,Set a fixed amount every period,8,87854,Daily,Attachments File/Report_65MB.csv
39fI-)&0zbH222,Set a fixed amount every period,1,13614,Monthly,Attachments File/Report_1MB.csv
51wR-)&7n2T222,Add an amount every period and correct for overspending,8,19998,Monthly,Attachments File/Report_1MB.csv
24oM-)&2inX222,Add an amount every period,8,85521,Daily,Attachments File/Report_1MB.csv
95sR-)&3szG222,Add an amount every period,8,51968,Yearly,
46pX-)&3y5O222,Add an amount every period,1,89647,Weekly,Attachments File/Report_1MB.csv
28wY-)&0kuV222,No auto-budget,1,38722,Weekly,Attachments File/Report_1MB.csv
30cH-)&779M222,No auto-budget,1,60060,Daily,Attachments File/Report_1MB.csv
59iV-)&355K222,Add an amount every period and correct for overspending,1,63599,Yearly,Attachments File/Report_1MB.csv
,No auto-budget,8,22445,Daily,Attachments File/Report_1MB.csv
31lH-)&2kqP222,Add an amount every period and correct for overspending,1,37193,Daily,Attachments File/Report_1MB.csv
25eC-)&00dD222,No auto-budget,8,70667,Daily,Attachments File/Report_1MB.csv
,No auto-budget,8,70770,Monthly,Attachments File/Report_1MB.csv
35kG-)&8qpH222,Set a fixed amount every period,1,97287,Daily,Attachments File/Report_1MB.csv
35iH-)&5pwT222,Add an amount every period,8,10869,Daily,Attachments File/Report_1MB.csv
88wE-)&8f2M222,Add an amount every period and correct for overspending,1,15731,Monthly,Attachments File/Report_1MB.csv
14zL-)&51cI222,Add an amount every period and correct for overspending,1,87774,,
69hJ-)&8eoC222,No auto-budget,1,17931,Weekly,Attachments File/Report_1MB.csv
04xY-)&02oZ222,Add an amount every period and correct for overspending,8,51348,Daily,Attachments File/Report_1MB.csv
19mY-)&29qN222,Add an amount every period and correct for overspending,1,55898,Weekly,Attachments File/Report_1MB.csv
75mG-)&01oJ222,Add an amount every period and correct for overspending,8,31254,,Attachments File/Report_1MB.csv
86dU-)&8qxF222,Add an amount every period and correct for overspending,1,80340,Monthly,
70bH-)&7riT222,No auto-budget,1,83402,,Attachments File/Report_1MB.csv
04pG-)&3aeH222,Set a fixed amount every period,8,80544,Weekly,Attachments File/Report_1MB.csv
05gH-)&4y7N222,No auto-budget,8,78916,Weekly,Attachments File/Report_1MB.csv
63fL-)&32lP222,Add an amount every period,1,80012,,
47eO-)&6zfN222,Add an amount every period and correct for overspending,8,93530,Daily,Attachments File/Report_1MB.csv
10zF-)&5y1J222,No auto-budget,8,82980,Weekly,Attachments File/Report_1MB.csv
02yB-)&5h4B222,Set a fixed amount every period,8,37267,Yearly,Attachments File/Report_1MB.csv
03yX-)&5wiT222,No auto-budget,8,27029,,Attachments File/Report_65MB.csv
12fX-)&4f4B222,Add an amount every period,1,23355,Weekly,
03vV-)&2o8A222,Add an amount every period and correct for overspending,1,81055,Daily,Attachments File/Report_1MB.csv
,No auto-budget,8,56439,Weekly,Attachments File/Report_65MB.csv
33xO-)&0vyU222,Add an amount every period and correct for overspending,1,29016,Yearly,
36dH-)&679G222,Set a fixed amount every period,8,71402,Daily,Attachments File/Report_1MB.csv
16yS-)&8mlS222,No auto-budget,1,86281,Monthly,Attachments File/Report_65MB.csv
11wW-)&3x7J222,No auto-budget,1,48409,Daily,Attachments File/Report_1MB.csv
04zI-)&4k0D222,Add an amount every period and correct for overspending,1,15907,Yearly,Attachments File/Report_1MB.csv
11oY-)&6olY222,Add an amount every period,1,92384,Daily,Attachments File/Report_1MB.csv
76mP-)&871S222,Set a fixed amount every period,8,3119,Weekly,Attachments File/Report_1MB.csv
34qA-)&2tyV222,Add an amount every period,8,2934,Daily,
95mU-)&8w9J222,Add an amount every period and correct for overspending,8,17790,Weekly,Attachments File/Report_1MB.csv
63gM-)&96sZ222,Add an amount every period and correct for overspending,8,71785,Daily,Attachments File/Report_65MB.csv
17xN-)&1kyX222,Add an amount every period,1,,Yearly,Attachments File/Report_1MB.csv
67oM-)&88cC222,Add an amount every period and correct for overspending,8,78011,Yearly,Attachments File/Report_1MB.csv
61pB-)&72uZ222,No auto-budget,1,18143,,Attachments File/Report_65MB.csv
,Add an amount every period,1,,Daily,Attachments File/Report_1MB.csv
85gK-)&8rwC222,Set a fixed amount every period,8,65886,Monthly,Attachments File/Report_1MB.csv
13gY-)&7dnF222,Add an amount every period,1,18580,Daily,Attachments File/Report_1MB.csv
48eA-)&24sG222,Add an amount every period and correct for overspending,1,,Weekly,Attachments File/Report_1MB.csv
17bS-)&313F222,Add an amount every period,1,93732,Daily,Attachments File/Report_1MB.csv
97tY-)&72qN222,No auto-budget,8,46968,Yearly,Attachments File/Report_1MB.csv
01bA-)&3qhM222,Add an amount every period and correct for overspending,8,43916,Yearly,Attachments File/Report_1MB.csv
86uF-)&5ttB222,Set a fixed amount every period,8,41361,Daily,
,Set a fixed amount every period,8,57887,Monthly,Attachments File/Report_1MB.csv
53gG-)&3pyH222,Add an amount every period and correct for overspending,8,64210,Yearly,Attachments File/Report_1MB.csv
11tA-)&6zcO222,Add an amount every period,8,53306,Monthly,
49jY-)&7qrA222,No auto-budget,1,27878,Weekly,Attachments File/Report_1MB.csv
41iA-)&31aU222,No auto-budget,8,13701,Daily,Attachments File/Report_65MB.csv
58tC-)&5dpV222,Set a fixed amount every period,8,87311,Monthly,Attachments File/Report_1MB.csv
27iG-)&813N222,Add an amount every period,8,61101,Daily,Attachments File/Report_1MB.csv
07cK-)&761A222,Add an amount every period and correct for overspending,8,22443,Daily,Attachments File/Report_65MB.csv
73rZ-)&4g7S222,Set a fixed amount every period,1,3806,Daily,Attachments File/Report_1MB.csv
,Add an amount every period and correct for overspending,8,47159,Monthly,Attachments File/Report_1MB.csv
64wU-)&799U222,Add an amount every period and correct for overspending,8,27349,Daily,Attachments File/Report_1MB.csv
88nM-)&35bM222,Add an amount every period and correct for overspending,1,70309,Monthly,Attachments File/Report_1MB.csv
14sZ-)&3j1Q222,Set a fixed amount every period,8,12999,,
25tO-)&4nxM222,Add an amount every period,8,38923,Weekly,Attachments File/Report_65MB.csv
21fS-)&8qnA222,Set a fixed amount every period,1,68831,Yearly,Attachments File/Report_1MB.csv
89bK-)&29jP222,Add an amount every period,8,46642,Monthly,Attachments File/Report_1MB.csv
05dI-)&306Y222,Add an amount every period,1,20899,Yearly,
